timestamp,latitude,longitude,altitude_km,velocity_km_h
2025-11-01 22:19:17,39.184374055404,108.3207336609,422.51592993871,27583.132116368
2025-11-01 22:20:18,36.742341437461,111.98710714309,422.21262440417,27582.409324626
2025-11-01 22:21:19,34.178439231187,115.40712334956,421.90495702107,27581.660012913
2025-11-01 22:22:20,31.510223354675,118.607340664,421.60523340774,27580.872004652
2025-11-01 22:23:21,28.753063825071,121.61376238046,421.32576562689,27580.033289058
2025-11-01 22:24:22,25.920401042928,124.45115272103,421.07860685128,27579.132375643
2025-11-01 22:25:23,23.024013036545,127.14270827507,420.87528933872,27578.158639791
2025-11-01 22:26:25,20.025534706659,129.75112137228,420.72464456499,27577.084612758
2025-11-01 22:27:27,16.981612525527,132.25202449267,420.64062194747,27575.917319509
2025-11-01 22:28:28,13.95084005502,134.62645804704,420.63161777308,27574.67161458
2025-11-01 22:29:29,10.891944388095,136.93270997525,420.7027491676,27573.325391118
2025-11-01 22:30:29,7.8624471143827,139.15027725322,420.85615482023,27571.901416632
2025-11-01 22:31:30,4.767733606505,141.36817207048,421.10058704291,27570.352790591
2025-11-01 22:32:31,1.6642891228901,143.56376968771,421.43605961058,27568.705464511
2025-11-01 22:33:31,-1.3910092306091,145.71555624832,421.85479993227,27566.994306989
2025-11-01 22:34:32,-4.4941896633075,147.90929522854,422.36881188307,27565.170352374
2025-11-01 22:35:32,-7.5377718422287,150.08687747103,422.95748240306,27563.303731258
2025-11-01 22:36:33,-10.617191306766,152.33532885039,423.63474953452,27561.345171945
2025-11-01 22:37:34,-13.675250562264,154.63374035664,424.38394340843,27559.340621046
2025-11-01 22:38:34,-16.65574920675,156.95868366927,425.18208673074,27557.341063766
2025-11-01 22:39:35,-19.65079000139,159.40436808355,426.04520795156,27555.298977615
2025-11-01 22:40:35,-22.554392646363,161.90811168775,426.93338517232,27553.301569742
2025-11-01 22:41:36,-25.454511293969,164.57264860689,427.86324654057,27551.304230007
2025-11-01 22:42:37,-28.292320657646,167.37821187213,428.80624599315,27549.363623694
2025-11-01 22:43:37,-31.011778745232,170.29739312272,429.73236560108,27547.533279602
2025-11-01 22:44:38,-33.690746501909,173.45143776334,430.65763231854,27545.77587834
2025-11-01 22:45:38,-36.227111561385,176.76158986944,431.53708916778,27544.172034737
2025-11-01 22:46:39,-38.688765226549,-179.63592557319,432.38526908616,27542.691219542
2025-11-01 22:47:40,-41.013372188918,-175.76857983892,433.17266163163,27541.383549731
2025-11-01 22:48:40,-43.145196982989,-171.68309244861,433.87440022673,27540.286511224
2025-11-01 22:49:41,-45.131608665087,-167.22412822468,434.50113816892,27539.382445449
2025-11-01 22:50:41,-46.882302791013,-162.52652795614,435.02099786104,27538.717488862
2025-11-01 22:51:42,-48.428531991258,-157.43348086068,435.44109169119,27538.283980822
2025-11-01 22:52:43,-49.711634255409,-152.03606339456,435.74312720105,27538.106965744
2025-11-01 22:53:43,-50.691531667403,-146.46372412094,435.91820347577,27538.191911966
2025-11-01 22:54:44,-51.378452694444,-140.58522596629,435.96705192931,27538.547560257
2025-11-01 22:55:45,-51.736579386741,-134.56567950688,435.88250319957,27539.17742818
2025-11-01 22:56:46,-51.756512194994,-128.4933701489,435.66339670535,27540.080875099
2025-11-01 22:57:47,-51.43765430114,-122.462096758,435.31065569012,27541.253838667
2025-11-01 22:58:47,-50.801518510215,-116.65659392448,434.83623799958,27542.663267721
2025-11-01 22:59:48,-49.842755102403,-110.95888848002,434.22929489318,27544.345512213
2025-11-01 23:00:48,-48.614080868455,-105.61174269328,433.51647258363,27546.231941699
2025-11-01 23:01:49,-47.100054547861,-100.47378299874,432.68273687594,27548.368688506
2025-11-01 23:02:50,-45.346397897576,-95.654362300651,431.74958183537,27550.706449507
2025-11-01 23:03:50,-43.41446940153,-91.22634919211,430.74650359968,27553.180343716
2025-11-01 23:04:51,-41.265828325019,-87.031826152892,429.65337618241,27555.848646753
2025-11-01 23:05:52,-38.955324641829,-83.128608477355,428.50087355189,27558.645144171
2025-11-01 23:06:52,-36.546095524364,-79.550819744251,427.32442528691,27561.49380776
2025-11-01 23:07:53,-33.977087547998,-76.153811668943,426.10079570752,27564.461017058
2025-11-01 23:08:53,-31.349123653213,-73.02360189169,424.88610163678,27567.420891646
2025-11-01 23:09:54,-28.589488926457,-70.030504187613,423.65631410068,27570.442617076
2025-11-01 23:10:54,-25.801417501622,-67.24903015214,422.46768536205,27573.398473735
2025-11-01 23:11:55,-22.903432696193,-64.563826974355,421.29643622024,27576.358306019
2025-11-01 23:12:56,-19.951678985634,-62.001218866493,420.17793461121,27579.244578506
2025-11-01 23:13:56,-17.004722120489,-59.581035664064,419.1431506956,27581.985935696
2025-11-01 23:14:57,-13.972430078261,-57.204505072832,418.17053479892,27584.649256666
2025-11-01 23:15:58,-10.911060005644,-54.895637865927,417.28959830473,27587.165242037
2025-11-01 23:16:59,-7.8275158420478,-52.638333729945,416.51036600171,27589.513614736
2025-11-01 23:17:59,-4.7791764002964,-50.453486946994,415.85109627772,27591.64290545
2025-11-01 23:19:01,-1.61952553503,-48.217769526218,415.2878989915,27593.640094842
2025-11-01 23:20:02,1.4927244926605,-46.025372252139,414.8551434623,27595.391908587
